D3DSZ1	O43236
Q6IQ28	Q9P212
Q15102	D3DSS1
A6NJG9	B3KXA2
Q9UHD2	Q8IUC6
P14210	P14210
P40937	Q9Y3C7
Q99459	Q6FI05
P98082	Q7Z5C1
O95466	Q05C41
Q00613	D3DTH5
Q6FGG1	P62304
Q6I9R7	Q05086
Q14140	Q13263
B3KWG5	D3DUA1
Q6MZM7	D3DVE0
B3KRJ9	Q08945
P04053	D3DW02
Q54AC4	O15533
Q59F09	P78527
P51946	Q9BRL8
Q9UG98	Q8TAR1
Q6I9R7	P50613
Q6IBL8	Q9P2H0
O94986	Q9Y2J2
Q9NYS0	Q15653
O00231	Q9H7U1
Q9P084	P17480
Q05655	Q6FGN3
P35713	P09429
A8K9A6	Q92905
A8K107	D3DW98
Q9ULX9	Q16236
Q2HXW2	Q9Y613
Q5TCA8	Q9P1M2
Q92624	D3DSD3
Q03518	Q99750
Q13596	Q13596
Q2TNI1	P04626
Q8TEW0	Q01970
P55899	Q8N4G4
Q99683	Q99683
P21246	Q99417
Q96AQ3	Q9BWC9
B3KT07	P42858
Q9H0C7	D1MGQ2
Q8N668	P25963
Q9BX66	B3KXA2
Q5H8V1	Q6FHD6
P13693	Q658P3
Q07011	A8K107
Q9C0E8	A6NG32
Q9H9D4	P14174
Q01362	B0LPF3
D3DRK2	Q00987
Q969F8	Q969F8
Q9BQY4	D3DR72
Q12770	Q12770
Q9NWT1	Q547Q3
D3DRE9	O60566
O43707	P35228
Q13315	Q6IN79
B3KT07	O15235
Q9Y5U5	Q658U1
P52655	D3DSV2
Q9Y6J0	Q02080
P24394	O60496
Q5DR82	P18074
Q5T178	Q5T178
Q96S59	Q9NUA2
Q96G78	Q6FGG1
D3DV04	D3DV04
O14746	O14746
Q6FI14	Q9HA84
Q5JY77	O43504
P36957	Q13045
Q15653	Q96HT3
P55210	Q9HAW4
Q9NRG1	Q96G04
P52945	P10997
Q53XQ3	P02647
Q4LE28	Q6MZW8
P19174	Q6IQ28
B1AHC8	P42858
O95125	Q8WTR7
D3DVV8	Q6VY07
P51955	A8K031
Q9GZP9	P08582
Q53T66	P15172
Q06190	P53041
Q05516	Q9UQL6
Q53XL8	P35998
Q13501	D3DNQ4
B2R4P8	Q5T3J3
P17600	D3DNI4
Q53XS4	D3DST0
Q9Y371	Q07812
Q15466	Q5T5H7
Q9Y5P4	O95197
D3DUA7	P51610
B3KPB9	Q9H0D6
Q4W5M7	Q96AN2
Q7Z6J2	O75899
Q9NYG5	Q9UJX6
Q17RD7	Q17RD7
Q54AC4	Q15185
Q7Z465	P10415
D3DTX4	P47224
P54252	Q96IF9
Q53YK7	Q9Y3Q8
Q13825	Q13825
Q8N6C5	D3DP85
Q68Y55	Q6IBN1
Q9UG85	Q9UG85
Q99816	P26358
P49757	Q00987
D3DXB9	Q4LE63
Q8N589	Q16548
D3DTB7	Q3LRW3
Q01844	Q01844
A4D1G0	Q6FI05
D3DQP4	P37840
Q96AX1	Q9P253
P47224	Q9BVJ6
Q16625	D3DVV2
Q8TEL6	D3DUR1
Q99496	O00257
P40189	P13725
P43364	Q96AJ1
Q96LC9	Q92843
P08575	P08575
Q8N2H9	D3DR16
P61011	P61011
D3DN31	Q66PJ3
Q8N488	A8JZZ0
D3DR83	P78347
P15927	P49736
P54259	Q9P2R6
Q9NYJ8	D3DTF2
P15927	B3KT07
Q86VP6	D3DRY6
D3DRS0	A2RUM7
A8K9L3	P27797
Q6ICQ9	Q5T3J3
O96017	O15151
Q9NUA2	Q99638
Q14703	P23560
D1CS53	D3DTB8
Q2TNI1	Q2TNI1
Q6PIS6	P01008
Q96T60	Q7Z763
Q15628	P05783
Q13137	Q9H9D4
Q13316	P08603
P55211	P15924
Q9NPB1	Q9NPB1
Q92888	Q92888
Q9BTE0	Q9Y383
P19838	Q96F31
Q6ICS9	Q5T3J3
Q53QM2	Q14247
B1AJQ7	A8K287
Q9Y4Y9	Q16637
Q5T1R4	P20333
P06744	P06744
Q99705	P20382
Q6IN79	P25490
P59998	Q9BPX5
Q04941	Q9Y2H0
D3DVK1	Q07889
Q9UMS0	O95278
Q02962	Q53T66
Q13485	Q9BQ65
D3DU69	Q2TB39
A4D1W7	P19883
Q01844	Q8NDC0
Q9UDY8	D3DR16
Q9NWQ8	P20936
Q6NT97	Q6NT97
Q99062	B0LPF3
A4D1U3	A4D1U3
Q9BUF7	Q658X5
Q13387	Q13009
Q5H8V1	Q5H8V1
Q15459	P08047
Q6IAL4	O95985
D3DU69	P25445
Q7L3B6	Q16543
Q8TF74	D3DVK1
Q7LBR1	O75351
P27797	P27797
P01106	P49715
D3DS37	P35221
P41212	Q547Q3
Q9HAW4	Q99638
P80188	P80188
Q3LRW3	B3KM80
Q9H081	Q9H081
Q92823	Q01484
O43294	Q8IYN9
Q9UJY5	Q6ULP2
Q00403	A8K8W5
O14893	P26368
Q86UL8	P60484
Q13200	Q53XL8
Q99547	Q9Y5X1
O75528	Q9BRR6
P01225	Q6I9S8
Q6XZF7	Q92558
P55197	O95619
O43633	Q3ZTS9
A7WPU8	Q9NUA2
D3DTH6	Q8IYN9
Q53YD7	Q53YD7
B4E127	P43699
Q6IN79	Q9Y4A5
Q8IY97	P61966
Q9Y3V7	Q6MZM7
O75419	Q9UBD5
Q12797	Q8IVK2
P28749	P28749
D3DTB7	D3DTB7
A8K9A6	Q93034
Q15406	O14775
Q9UG98	Q6FH21
O60674	O60674
P54278	Q5GJ64
Q6FHY4	Q9UFM0
D3DPX6	P06213
B1AHC8	Q86TF7
A1Z5I9	A1Z5I9
O14978	Q9Y5B8
Q05086	Q05086
Q16799	Q07817
Q9H875	Q8IW76
A4D2J4	Q6FI05
B2R5Q7	Q14632
Q9BRB3	P37287
B3KQW8	P42858
Q5SR62	Q5XKK9
Q9NUA2	P40763
Q9NS56	Q9NS56
Q4LE28	P31269
Q9P084	P23458
Q14498	Q5T5H7
Q5J7V5	P04921
D3DVV8	P32004
A2RU94	Q9P2H0
Q96FF1	Q96FF1
A4D0P7	Q13416
Q15465	Q15465
Q9BUZ4	D3DUR2
O43281	O75865
Q05CZ3	Q9Y383
P21246	D3DW18
Q5T0G8	Q6FHV6
Q16342	O75376
B3KM48	Q0VDD7
Q8WXE1	P27694
A8K107	Q9NSS6
Q8N3Y1	D3DQ97
D3DUR1	Q9BXW9
Q9BUQ0	Q8WY44
Q5T3J3	Q5T3J3
P24864	P30304
P24394	P35568
Q9H2S9	Q9H2S9
P07814	P54136
Q15569	Q15569
B4DG66	Q8NCQ8
Q4LE28	P17480
Q4G0X8	D3DNV2
P16070	P16070
Q9UNH7	Q9UNH7
B1AHC8	Q9BTW9
Q66K89	Q3LRW3
P34995	Q5SZC0
A4D1G0	P55273
P11831	P23511
Q9P2M1	Q7Z5C1
O14964	D3DU69
P35606	B0YIW5
O60763	Q13190
O75832	P06400
Q05CA6	Q15648
Q8WUF5	Q8NCQ8
D3DXF9	P19174
Q53XR6	Q13501
Q96FF1	Q96AF9
Q8N8S7	Q8N8S7
Q03403	Q03403
A8K9A6	B3KM48
Q05516	P15976
O43291	Q04756
P51946	D3DQY2
Q9UPV9	Q9UPV9
P31269	Q15654
Q96FF1	Q9BQY4
O00499	P56199
Q6FI05	D3DVV8
Q6ICU9	Q9Y3Q8
Q6FI05	P40763
O75528	O75478
B1AH95	P02647
Q16666	Q53T66
Q7Z3T9	P49763
Q9BRB3	Q14442
O43752	Q6IAZ3
Q96IF9	P25963
O43561	Q4ZG17
O14920	Q9UHD2
Q13137	Q96S44
D3DTH6	Q7L190
Q5T5H7	Q5U079
Q6FHZ4	O15145
P62310	Q6FGG1
Q01844	Q96M83
Q53YD7	Q6N063
D0UFD4	Q5JWU6
Q6FI00	P28749
Q5TZP7	Q5TZP7
Q6FHQ0	Q9UKG1
Q04323	Q547Q3
Q155Q3	Q9P1M2
P55211	P99999
Q96FF1	Q5SQT9
Q5W141	P25963
Q9BQE4	Q96IF9
Q99689	Q3MII6
Q15672	Q2TB39
Q9P2E8	D3DUS5
Q9BXH1	Q07817
D3DTH6	P06213
Q8NHW3	O75444
Q8IUW5	Q969Z4
Q5W141	Q9UHD9
Q9NUA2	O60244
Q7L590	Q6FI05
Q96FF1	O94842
P62308	Q7L5N1
Q9UJU6	Q9H788
Q07021	Q07021
Q53XR6	P31269
Q96PY6	P05814
D3DTH5	Q16635
B2RC01	Q8N7A4
Q99750	Q8IVD8
P25963	D3DR83
Q8TEW0	P05129
Q4ZG02	Q4ZG02
Q99665	P42701
Q4LE67	P09429
Q05519	D3DU92
P25208	Q14919
Q9UBD9	O75462
Q5QJE6	P37231
Q01844	O95336
Q9Y6D9	P17480
P54132	P27694
Q96IP4	Q9P287
D3DX67	A2RUM7
Q53EL2	P17927
D3DVV8	P06401
Q8WYA1	B3KW07
Q9Y613	Q13976
Q7Z465	P55789
Q14232	Q53XC0
Q8IUC6	Q9H6S1
P14653	Q4LE28
Q13216	Q16531
Q9C000	D3DXD6
P02774	P01024
O75385	B2R5Q7
B3KQL5	Q4LE30
Q06945	D3DU69
Q99689	O43719
Q96C86	Q96C86
Q9NWQ9	B4DTJ0
P08311	Q53XJ8
Q9Y3F4	Q53XR6
Q6IB77	Q5RL73
Q9BZW8	Q6FGS6
Q6ZSZ9	Q13838
Q5TCX1	O43914
Q6MZZ3	Q6MZZ3
Q9P299	B0YIW5
Q59F04	Q9HA84
Q59GZ8	P05121
P26232	P35221
Q6I9R7	B6ZGU0
Q4LE39	Q96ST3
P04150	P49715
P49137	P11831
Q9BVJ6	Q96IZ7
P52272	P06731
P08047	O75376
Q6UWL2	B3KNI7
P02768	Q9Y383
P26232	D2JYI1
P29965	P25942
Q13098	Q3LRW3
P54259	Q96PV6
A1L467	Q9HA84
Q5T782	Q9P1Z2
Q9BV38	Q8NC60
P06400	Q9BSD8
Q9Y2Q5	Q9UHA4
Q9HCH5	Q8NCQ8
Q96FF1	O75376
Q59F09	Q15554
Q96CD0	D3DQ97
Q6Y2X3	Q99698
P11831	Q8IXL1
Q96FF1	Q15654
Q13257	Q6NSJ8
P27694	Q9H8T0
Q14999	D3DQ97
Q8WXI2	Q8NI35
O60674	P40238
Q8IYN9	P04626
D3DX74	Q658U1
P35869	P06400
P32004	B1AKZ4
D3DR16	Q53XL8
P49327	P49327
Q92851	D3DXD6
D3DQ24	Q2TB39
Q9UHP7	Q12918
Q6ZVK8	O95810
D3DVS4	Q05516
O75449	Q05469
Q6PJ06	P20309
Q9C004	Q9C004
P16284	P15924
Q9UBU7	P49736
Q4LE28	O75925
Q14469	O60674
Q6FI02	Q969F0
Q4LE67	P32004
Q15569	P23528
Q12906	Q9HAV4
Q6ZSZ9	P19801
Q15744	P15976
Q96G78	Q9H7Z7
P25098	P30086
Q9NP85	Q9Y5K6
D3DNA3	Q59F04
Q4LE28	Q4LE28
Q5U0C0	Q7L5N1
Q9Y3C5	Q9UHD9
D3DQY2	Q5T5H7
Q15654	Q8IYN9
O15230	D3DQW7
B3KY81	P09382
P27701	D3DUS5
P51843	Q9NUA2
Q86YS3	Q86YS3
O95721	B1AJQ7
Q9BSI4	Q15554
Q07021	P38432
D3DVV8	A8K3M3
Q9UKY1	P23511
Q12851	A8K107
Q8N2Y9	Q5JPT6
Q9NZQ3	O00401
Q6I9V6	P33993
P08246	P08519
P02766	Q08345
O60496	Q9BTB0
P63146	B3KT07
Q8IU60	D3DRS0
Q8WXI2	D3DXB9
Q05D28	D3DWF0
Q99418	B3KVQ4
P54259	D3DVK1
A8K8F5	Q8N357
Q07812	P10415
Q99613	P60228
P21246	Q6IBL8
A8K107	A6NLR5
P49137	P33241
Q96FF1	P28676
B2R8X8	B2R8X8
P25054	P25054
D3DRU5	P23458
Q86VG2	P11387
D3DNB3	P49715
P30793	P30793
P98082	B0LPF3
D3DPD8	P08559
Q9Y5Z0	D3DSD3
Q99750	Q96ES6
Q8TDY2	D3DST0
Q99750	Q24JQ0
Q96ST3	Q59FP9
Q9UNY4	Q99459
P61073	Q8IYN9
Q14934	Q4LE28
Q59EH3	P26232
P51843	P36956
P01106	Q8TAX8
A8YXX4	Q6ZVK8
Q12955	P25445
D3DQB8	P14635
Q96KG7	D3DVM9
Q9Y3B2	Q9NQT4
Q9H0D6	P25788
Q13155	Q13155
Q8IYN9	B4DIW5
Q5SQS3	P08575
P38432	Q8TAP6
A4GUK5	Q53FE8
Q15038	Q93062
P19838	P04150
Q14232	Q6IBR8
Q53XR6	P98082
Q15842	Q09428
A5YM55	D3DQP4
P49137	O95816
Q8N357	Q9GZW8
Q15596	P27540
P11362	P11487
Q6FIE9	Q93062
Q8WXD5	P62318
P23588	P23588
Q07889	D3DTH6
P28715	Q01844
Q9BTW9	O95424
D3DNA3	P06213
Q59GZ8	Q03405
O43281	D3DST0
Q8IZH2	D3DWI4
O96017	P30304
P25786	P38432
O75909	P24928
O94985	Q53YK7
P08575	B0LPF3
Q53XR6	D3DQG5
Q5JWU6	Q5JWU6
O14920	Q8IW76
O14920	P30086
P49137	P26651
P42226	P17676
Q8WUP2	Q96AC1
Q9UQL6	Q6IAW1
A8KAN9	Q9HD26
Q86Y13	Q86Y13
Q86TW5	P56282
Q96A72	D3DW78
B3KXA2	Q0VDD7
P43364	Q12906
Q7Z5J1	Q7Z5J1
P02775	Q8WVM8
Q9H267	Q6IA61
Q5VUF1	Q5VUF1
D3DRP8	Q53XC0
Q9NTF0	Q8IV36
Q6PJ06	P20333
P35070	P04626
Q04941	B0FWH2
P01106	P08047
P36888	B0LPF3
D3DNI4	D3DNI4
Q8WX92	Q5T5H7
Q8N3Y1	Q14999
O14964	Q5VSY0
Q9BST9	Q9HD26
Q13021	Q2TNI1
Q9P1Z2	Q9Y573
P07858	P07858
A4D2D6	Q9UBC2
Q9Y283	Q9NWT6
B1AK66	Q4LE28
A8K4L9	Q16637
Q99613	O75821
O14964	Q6IAZ5
Q59G71	Q59G71
O00401	B0LPF3
Q9BYG4	Q8TEW0
Q02156	P16284
Q6GPH7	Q15125
D3DNR3	Q5T782
Q5BKU3	Q5BKU3
P26367	Q9Y2V3
Q05516	P11473
B4DG66	D3DSD3
A2I2N5	O15055
P11274	B0LPF3
D3DNF7	P99999
Q4JHT5	P15260
Q3LRW3	B1AHC8
D3DQY2	P35998
P49366	D3DTP2
Q5T124	Q8N771
P40337	Q6MZM7
Q6PJ06	Q6NT97
Q5T5H7	Q92905
Q56P03	Q9Y312
A8K0V9	D3DST2
B3KT07	Q15102
Q8WYU6	P01137
Q8TF42	O60674
Q5RKV6	O15116
D3DTT3	P55060
P26232	Q9Y230
Q6IBN1	P17676
Q00587	Q9BPZ7
Q9UKI2	Q9UKI2
Q5U0J5	P11831
Q59H88	Q6ZN44
A4D0W0	Q9Y4Y9
Q9H6V3	Q9H8T0
P04839	P19878
B3KRJ9	D3DWS0
P55345	P55345
Q96H20	P55199
Q92805	Q92805
P23378	D1CS21
Q969D9	P16871
B4DIA5	B4DIA5
P16070	Q16512
Q96HD1	Q7L5N1
Q13573	Q9H1I8
P25490	P08047
Q9ULX9	D3DTU3
A8K3Z8	A8K3Z8
A3KME0	Q53XM5
Q96QT4	Q9BX84
Q9H1I8	Q15650
P20807	Q7Z6G3
O60333	O14908
Q7Z322	P08138
P55210	P06454
Q53QS9	A8K9A6
P54259	Q70EL1
P26368	Q71RF1
Q96FF1	Q8N1L9
Q5STB2	Q5STB2
Q9NPD3	Q96PY6
B0ZBE0	Q13425
A4D0Z4	Q5T5P2
Q6I9R7	Q15788
Q14582	B0FWH2
Q4G1A0	Q15650
Q99972	P02746
D3DRD0	P30411
Q6FHM6	Q5T3J3
Q9UMX1	Q7Z412
Q13526	Q99750
Q9UGI8	Q9UGI8
Q9NUA2	A8K171
A2RU94	P31150
P56537	P08559
Q496J9	Q496J9
P23443	Q9BUZ4
D3DVK1	Q15427
Q9Y6B2	Q05CG0
P49354	P49454
P51790	O14745
Q99689	Q8IYB7
Q86U55	O14920
D3DTJ6	Q9BST9
Q99608	Q53QF9
P09683	Q8IV17
P02730	P02730
D3DX67	O43318
P60033	Q9P2B2
Q13042	Q13257
Q96KG7	Q8TBE0
O43707	Q14214
Q5W0A3	P10415
Q96FZ7	Q9BRG1
Q9BSJ2	O95613
D3DSH6	A7E2E1
Q13490	P55211
Q9Y6K1	O43463
Q8NAN0	Q8NAN0
D3DSV2	Q00987
P55210	P61289
Q9UKY1	Q05DP8
A8K107	P13994
Q99750	Q9H0I2
P48740	P01024
Q59FQ5	P04628
Q5TCA8	B2RBK5
O75376	P37231
A3KLL5	P58549
P54259	Q5YLC1
Q96FF1	Q8N554
Q8TEW0	Q15831
P78396	P78396
P13010	Q59F09
D3DRK2	B3KM80
Q9UM73	Q9UM73
Q8NI17	P40189
P10912	Q9NSE2
O14920	P19838
B3KW07	P27540
B3KNK9	Q9C0J1
D3DU69	Q9UBT2
Q59H02	Q9UBF9
P04070	P12259
P56159	Q9BTB0
Q4W4Y2	Q15554
Q86YC2	P51587
Q4W5M7	Q15648
Q6FI39	P16471
Q01844	O60381
Q13029	P06400
B3KWD0	D3DTH6
Q96KS0	D0VY79
A4D105	P27694
O60232	O60232
P56537	Q9BW99
Q12904	P54136
Q9UER7	Q3LRW3
Q8NF99	Q8NF99
Q15596	P11473
Q08397	Q6IAL4
Q08170	Q99590
O95551	P20333
P50579	Q8IW76
Q96FF1	Q6UWE0
Q9UK45	Q9Y4Y9
Q9BUZ4	Q15633
P19838	P09429
D3DVV8	P84090
P01148	P30968
Q9BRD5	D3DT24
Q14181	D3DPS8
Q86WK7	Q86SJ2
Q96B26	O00409
O14776	Q6FIF1
P54259	A2VEC9
O60925	Q59FC3
Q9Y6X8	Q9H4I2
P49767	Q86W07
P98175	Q9UKA9
Q96LD1	Q8N754
P49454	Q02224
P02775	D3DN84
P01270	Q99689
D3DWG3	Q9BSD8
Q5JQI0	P16278
Q92696	Q13873
Q9NY61	P06400
Q9BYE7	Q99496
Q8WWW8	P09603
A4D0Y8	D3DVE0
A8MSW4	Q9Y4A5
D3DWF0	D3DQJ6
B3KSA4	P14635
P37198	Q9H8Y8
Q9NT62	Q6IAW1
Q6IAW1	Q6IAW1
Q96SD1	P49959
Q92673	D3DVR9
Q13501	Q13501
P40763	Q59F04
Q92956	Q92956
Q9Y5V3	Q8IZ08
D3DVV8	Q9UKY1
Q15185	O14746
O00499	Q6ZSZ9
Q7L590	Q6FI00
P50281	Q07021
Q04721	Q8IZL2
Q3LRW3	Q546S1
Q14524	Q8NI35
Q92797	Q00613
Q13867	D3DSD3
P43364	Q8TAP6
Q3LRW3	Q6ICV4
P08949	O14773
Q13888	P19447
Q13162	Q13162
Q92905	D0VY79
B3KSG3	Q9Y3Q8
Q99608	P53384
P43364	Q8TDX5
Q5T9Y4	D3DR16
A8K9A6	Q3LRW3
P80108	P02647
D3DVV8	P60484
A4D125	Q4VBA3
Q13137	A6NLR5
Q3LRW3	P31350
P04053	B1AHC8
P06746	Q5TZP7
O75334	D3DPX6
Q99750	Q9P2T0
A2TDC0	Q00987
Q92797	P42858
Q15784	Q16512
Q15038	P35712
P15559	P15559
A0N0L5	P26441
Q86XR8	Q96RL1
Q96AQ3	P53567
Q9HAV4	P49790
D3DUQ1	Q92990
O14776	D3DWQ2
O15294	P11831
Q8WYU6	Q05C41
Q4W4Y2	A5D6Y3
O15020	P02549
